,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
770,45060,"Syracuse, NY",4,NY,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,260,7.7,0.911,0.84,0,0,44.32,92180,2.6,19.9,29.88,39.49,56.1,73.97,41390,62150,82130,116690,153860,0,0
771,45220,"Tallahassee, FL",4,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,120,9.7,0.688,0.64,0,0,37.67,78350,3.8,21.48,21.67,29.46,48.09,64.11,44670,45070,61280,100030,133350,0,0
772,45300,"Tampa-St. Petersburg-Clearwater, FL",4,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1450,5.5,1.059,0.98,0,0,47.77,99360,3,25.87,33.74,46.78,56.14,68.5,53810,70170,97300,116780,142480,0,0
773,45460,"Terre Haute, IN",4,IN,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,6.8,0.754,0.7,0,0,34.84,72470,1.8,23.68,28.5,33.6,41.72,42.57,49240,59290,69890,86780,88550,0,0
774,45780,"Toledo, OH",4,OH,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,120,46.8,0.434,0.4,0,0,33.07,68780,6.5,17.62,17.62,31.22,45.02,55.04,36650,36650,64950,93640,114480,0,0
775,45940,"Trenton, NJ",4,NJ,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,330,4.6,1.401,1.3,0,0,64.75,134670,1.8,37.73,46.46,63.3,79.26,96.96,78480,96640,131660,164860,201680,0,0
776,46060,"Tucson, AZ",4,AZ,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,260,13.3,0.691,0.64,0,0,48.19,100230,5.8,25.81,33.08,46.61,59.6,76.81,53690,68800,96950,123960,159760,0,0
777,46140,"Tulsa, OK",4,OK,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,420,14.7,0.978,0.91,0,0,44.9,93380,2.9,28.34,33.97,40.36,53.95,68.39,58950,70660,83940,112210,142260,0,0
778,46340,"Tyler, TX",4,TX,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,16.7,0.412,0.38,0,0,37.09,77150,3.9,20.5,27.29,35.34,47.8,49.24,42640,56760,73510,99430,102410,0,0
779,46520,"Urban Honolulu, HI",4,HI,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,17.8,0.209,0.19,0,0,49.65,103260,6.3,19.64,30.28,54.01,59.48,76.04,40860,62990,112330,123720,158170,0,0
780,46540,"Utica-Rome, NY",4,NY,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,70,16.5,0.626,0.58,0,0,44.64,92860,4.6,20.08,28.46,39.71,51.58,72.74,41760,59200,82610,107290,151300,0,0
781,46700,"Vallejo-Fairfield, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,70,13,0.537,0.5,0,0,57.53,119660,5.8,28.55,37.59,45.92,67.18,95.93,59370,78190,95520,139720,199540,0,0
782,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",4,VA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,450,31.1,0.616,0.57,0,0,48.68,101260,5.3,28.58,35.05,47.92,63.57,70.52,59440,72890,99670,132220,146680,0,0
783,47300,"Visalia-Porterville, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,20.6,0.221,0.2,0,0,45.76,95180,9.1,23.33,30.48,39.01,58.2,77.52,48530,63400,81140,121050,161250,0,0
784,47380,"Waco, TX",4,TX,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,13.7,0.635,0.59,0,0,37.44,77860,5.1,16.27,22.69,32.98,53.04,57.2,33850,47200,68600,110320,118970,0,0
